Brand,Name,PID,Image URL,Page URL,Time Rated,Rating,Price,Market Segment
Azzaro,The Most Wanted Parfum,165475,https://media.parfumo.com/perfumes/91/910c89-the-most-wanted-parfum-azzaro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-parfum,2 hours ago,8,53,Designer
Parfums de Marly,Delina Exclusif,106186,https://media.parfumo.com/perfumes/25/259ce9-delina-exclusif-parfums-de-marly_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina_Exclusif,2 days ago,7.5,287,Niche
Maison Francis Kurkdjian,Oud Satin Mood EAU DE PARFUM,57947,https://media.parfumo.com/perfumes/ed/ed7b0b-oud-satin-mood-eau-de-parfum-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Oud_Satin_Mood_Eau_de_Parfum,6 days ago,7.5,198,Niche
Perris Monte Carlo,Cedro di Diamante,110349,https://media.parfumo.com/perfumes/2f/2fad8a-cedro-di-diamante-perris-monte-carlo_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Perris_Monte_Carlo/Cedro_di_Diamante,2 days ago,7.5,117,Niche
Sedra,Nero,232208,https://media.parfumo.com/perfumes/af/afb60d-nero-sedra_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/sedra/nero,6 days ago,7.5,100,Clone/Niche
Nishane,Tempfluo,179569,https://media.parfumo.com/perfumes/46/460d17-tempfluo-nishane_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Nishane/tempfluo,6 days ago,7.5,131,Niche
Borntostandout,Fig Porn,195279,https://media.parfumo.com/perfumes/73/733aa1-fig-porn-borntostandout_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/borntostandout/fig-porn,2 days ago,7.5,332,Niche
Tom Ford,Vanilla Sex EAU DE PARFUM,236588,https://media.parfumo.com/perfumes/a5/a5bd53-vanilla-sex-vanilla-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/vanilla-sex-vanilla-eau-de-parfum,3 days ago,7.5,309,Private Blend
Sospiro,Vibrato,236726,https://media.parfumo.com/perfumes/f1/f17fed-vibrato-sospiro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Sospiro/vibrato,6 days ago,7.5,205,Niche
Tom Ford,Noir Extreme Parfum,179917,https://media.parfumo.com/perfumes/26/26cc36-noir-extreme-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-parfum,6 days ago,7.5,93,Signature
Jean Paul Gaultier,Le Mâle Elixir,209568,https://media.parfumo.com/perfumes/0c/0cf827-le-male-elixir-jean-paul-gaultier_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-elixir,5 days ago,7.5,57,Designer
Afnan Perfumes,Rare Reef,323899,https://media.parfumo.com/perfumes/84/8441ad_rare-reef-afnan-perfumes_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Afnan_Perfumes/rare-reef,4 days ago,7.5,27,Clone
Xerjoff,Alexandria II PARFUM,55381,https://media.parfumo.com/perfumes/be/be4590-alexandria-ii-parfum-xerjoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-parfum,6 days ago,7.5,275,Niche
The Merchant Of Venice,Gyokuro,166522,https://media.parfumo.com/perfumes/4e/4e4945-gyokuro-the-merchant-of-venice_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/The_Merchant_Of_Venice/gyokuro,2 days ago,7,105,Niche
The Woods Collection,Dusk,161242,https://media.parfumo.com/perfumes/10/10443b-dusk-the-woods-collection_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/The_Woods_Collection/dusk,5 days ago,7,48,Clone/Niche
Mercedes-Benz,Club Black EAU DE TOILETTE,95419,https://media.parfumo.com/perfumes/dd/dd8a95-club-black-mercedes-benz_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Mercedes_Benz/club-black-eau-de-toilette,6 days ago,7,40,Designer
Prada,Luna Rossa Black,102256,https://media.parfumo.com/perfumes/78/78f913-luna-rossa-black-prada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Black,5 days ago,7,50,Designer
Anfas,Dhai,185323,https://media.parfumo.com/perfumes/6a/6a7cf3-dhai-anfas_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Anfas/dhai,6 days ago,7,550,Niche
Azzaro,The Most Wanted EAU DE PARFUM INTENSE,149169,https://media.parfumo.com/perfumes/93/93509c-the-most-wanted-azzaro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-eau-de-parfum-intense,5 days ago,7,50,
